,index,log2_deme,migration_rate,normal_birth_rate
653,000008F7,8,0.025,0.90909090909
654,00000025,1,0.01,0.71428571428
655,000009E1,8,1.0,0.95238095238
656,000002A7,3,0.01,0.71428571428
657,000009FB,8,1.0,0.71428571428
658,000001C9,2,0.1,0.90909090909
659,00000993,8,0.5,0.90909090909
660,00000977,8,0.25,0.83333333333
661,00000689,6,0.025,0.71428571428
662,00000126,1,1.0,0.90909090909
663,00000671,6,0.025,0.95238095238
664,0000046A,4,0.25,0.90909090909
665,0000072F,6,0.5,0.71428571428
666,00000393,3,0.75,0.71428571428
667,0000088A,7,0.75,0.83333333333
668,000002AF,3,0.025,0.95238095238
669,000002B5,3,0.025,0.90909090909
670,00000253,2,0.75,0.71428571428
671,000007C9,7,0.025,0.71428571428
672,000009AB,8,0.5,0.71428571428
673,0000079C,7,0.01,0.83333333333
674,000003F1,4,0.025,0.95238095238
675,0000069D,6,0.05,0.90909090909
676,0000040E,4,0.025,0.71428571428
677,0000095D,8,0.1,0.71428571428
678,0000002B,1,0.025,0.95238095238
679,00000981,8,0.25,0.71428571428
680,00000982,8,0.25,0.71428571428
681,000003D3,4,0.01,0.90909090909
682,00000666,6,0.01,0.71428571428
683,00000254,2,0.75,0.71428571428
684,000005D2,5,0.5,0.90909090909
685,00000672,6,0.025,0.90909090909
686,00000242,2,0.75,0.90909090909
687,000001C0,2,0.1,0.95238095238
688,000002EE,3,0.05,0.71428571428
689,00000712,6,0.5,0.90909090909
690,000008C4,8,0.01,0.95238095238
691,00000437,4,0.05,0.71428571428
692,000000A5,1,0.25,0.95238095238
693,000003A0,3,1.0,0.95238095238
694,0000033B,3,0.25,0.83333333333
695,0000076A,6,1.0,0.90909090909
696,000008F9,8,0.025,0.90909090909
697,00000624,5,1.0,0.90909090909
698,000003C9,4,0.01,0.95238095238
699,0000096C,8,0.25,0.90909090909
700,000004B7,4,0.75,0.95238095238
701,0000015A,2,0.01,0.83333333333
702,000007D4,7,0.05,0.95238095238
703,0000067D,6,0.025,0.83333333333
704,000000C2,1,0.25,0.71428571428
705,0000074B,6,0.75,0.83333333333
706,00000432,4,0.05,0.71428571428
707,000008E7,8,0.01,0.71428571428
708,000009B2,8,0.75,0.95238095238
709,0000085F,7,0.5,0.83333333333
710,00000292,3,0.01,0.90909090909
711,0000061B,5,1.0,0.95238095238
712,000009C9,8,0.75,0.83333333333
713,0000017B,2,0.025,0.90909090909
714,0000012F,1,1.0,0.83333333333
715,00000573,5,0.05,0.71428571428
716,00000494,4,0.5,0.90909090909
717,00000205,2,0.25,0.71428571428
718,00000710,6,0.5,0.95238095238
719,000009DB,8,1.0,0.95238095238
720,0000023B,2,0.75,0.90909090909
721,0000044E,4,0.1,0.83333333333
722,00000086,1,0.1,0.90909090909
723,000000AC,1,0.25,0.90909090909
724,0000033C,3,0.25,0.83333333333
725,000000A3,1,0.25,0.95238095238
726,00000078,1,0.1,0.95238095238
727,00000089,1,0.1,0.90909090909
728,0000055A,5,0.05,0.90909090909
729,000005C9,5,0.5,0.95238095238
730,0000024F,2,0.75,0.71428571428
731,000003CF,4,0.01,0.90909090909
732,000001B3,2,0.05,0.71428571428
733,00000737,6,0.75,0.95238095238
734,00000427,4,0.05,0.83333333333
735,0000023E,2,0.75,0.90909090909
736,00000768,6,1.0,0.90909090909
737,000001F8,2,0.25,0.83333333333
738,000009F4,8,1.0,0.83333333333
739,00000706,6,0.25,0.71428571428
740,000005CE,5,0.5,0.95238095238
741,000000FB,1,0.75,0.90909090909
742,000008EF,8,0.025,0.95238095238
743,0000021B,2,0.5,0.90909090909
744,000003BA,3,1.0,0.71428571428
745,000003F4,4,0.025,0.90909090909
746,0000039C,3,1.0,0.95238095238
747,000007F3,7,0.05,0.71428571428
748,000000E5,1,0.5,0.83333333333
749,0000013B,1,1.0,0.71428571428
750,0000073B,6,0.75,0.90909090909
751,000009FC,8,1.0,0.71428571428
752,000008B1,7,1.0,0.83333333333
753,000008BE,7,1.0,0.71428571428
754,00000566,5,0.05,0.83333333333
755,0000003A,1,0.025,0.90909090909
756,000002A6,3,0.01,0.71428571428
757,000004C8,4,0.75,0.83333333333
758,000000D4,1,0.5,0.90909090909
759,000006EA,6,0.25,0.90909090909
760,00000923,8,0.05,0.90909090909
761,00000620,5,1.0,0.95238095238
762,000004ED,4,1.0,0.83333333333
763,00000299,3,0.01,0.83333333333
764,00000485,4,0.25,0.71428571428
765,000005D5,5,0.5,0.90909090909
766,000003CD,4,0.01,0.90909090909
767,00000431,4,0.05,0.71428571428
768,000004A3,4,0.5,0.83333333333
769,00000595,5,0.1,0.83333333333
770,000006CD,6,0.1,0.83333333333
771,00000552,5,0.05,0.95238095238
772,000001F4,2,0.25,0.83333333333
773,00000108,1,0.75,0.83333333333
774,00000953,8,0.1,0.83333333333
775,00000591,5,0.1,0.83333333333
776,00000169,2,0.025,0.95238095238
777,000004C0,4,0.75,0.90909090909
778,0000062B,5,1.0,0.90909090909
779,00000134,1,1.0,0.83333333333
780,000005A3,5,0.25,0.95238095238
781,00000882,7,0.75,0.90909090909
782,00000385,3,0.75,0.83333333333
783,0000027E,2,1.0,0.71428571428
784,000008AF,7,1.0,0.83333333333
785,000003F0,4,0.025,0.95238095238
786,000001E9,2,0.25,0.95238095238
787,000003DA,4,0.01,0.83333333333
788,00000588,5,0.1,0.90909090909
789,000008EB,8,0.025,0.95238095238
790,000006A3,6,0.05,0.90909090909
791,00000684,6,0.025,0.83333333333
792,000000AB,1,0.25,0.90909090909
793,00000820,7,0.25,0.95238095238
794,00000414,4,0.05,0.95238095238
795,0000073D,6,0.75,0.90909090909
796,0000001D,1,0.01,0.83333333333
797,0000010D,1,0.75,0.83333333333
798,00000387,3,0.75,0.83333333333
799,00000638,5,1.0,0.71428571428
800,0000046B,4,0.25,0.90909090909
801,000008C2,8,0.01,0.95238095238
802,00000407,4,0.025,0.71428571428
803,00000478,4,0.25,0.83333333333
804,000002B4,3,0.025,0.90909090909
805,00000476,4,0.25,0.83333333333
806,00000688,6,0.025,0.71428571428
807,00000855,7,0.5,0.90909090909
808,0000045E,4,0.1,0.71428571428
809,00000886,7,0.75,0.83333333333
810,0000006E,1,0.05,0.71428571428
811,000002B0,3,0.025,0.95238095238
812,00000230,2,0.75,0.95238095238
813,00000626,5,1.0,0.90909090909
814,000001C1,2,0.1,0.95238095238
815,000002F7,3,0.05,0.71428571428
816,00000878,7,0.75,0.95238095238
817,00000367,3,0.5,0.71428571428
818,000002AB,3,0.025,0.95238095238
819,00000342,3,0.25,0.71428571428
820,00000056,1,0.05,0.95238095238
821,0000031D,3,0.1,0.71428571428
822,000001CE,2,0.1,0.83333333333
823,000002EB,3,0.05,0.83333333333
824,00000014,1,0.01,0.83333333333
825,00000460,4,0.25,0.95238095238
826,000002C7,3,0.025,0.71428571428
827,000009FD,8,1.0,0.71428571428
828,00000857,7,0.5,0.90909090909
829,00000333,3,0.25,0.90909090909
830,000000DB,1,0.5,0.90909090909
831,00000112,1,0.75,0.71428571428
832,000000E2,1,0.5,0.83333333333
833,0000083C,7,0.25,0.83333333333
834,000004C1,4,0.75,0.90909090909
835,00000489,4,0.5,0.95238095238
836,00000822,7,0.25,0.95238095238
837,0000005D,1,0.05,0.90909090909
838,000003F7,4,0.025,0.90909090909
839,00000732,6,0.75,0.95238095238
840,000005D7,5,0.5,0.90909090909
841,000002E2,3,0.05,0.90909090909
842,00000564,5,0.05,0.83333333333
843,000009DE,8,1.0,0.95238095238
844,00000995,8,0.5,0.90909090909
845,00000210,2,0.5,0.95238095238
846,000001B1,2,0.05,0.71428571428
847,000000CD,1,0.5,0.95238095238
848,0000017C,2,0.025,0.83333333333
849,0000026E,2,1.0,0.83333333333
850,00000239,2,0.75,0.95238095238
851,00000513,5,0.01,0.90909090909
852,00000845,7,0.25,0.71428571428
853,000006F8,6,0.25,0.83333333333
854,0000049E,4,0.5,0.83333333333
855,000001B5,2,0.05,0.71428571428
856,0000087C,7,0.75,0.90909090909
857,00000778,6,1.0,0.71428571428
858,0000050C,5,0.01,0.90909090909
859,00000677,6,0.025,0.90909090909
860,00000350,3,0.5,0.95238095238
861,000009FA,8,1.0,0.71428571428
862,00000967,8,0.25,0.95238095238
863,0000002E,1,0.025,0.95238095238
864,0000062A,5,1.0,0.90909090909
865,0000019F,2,0.05,0.90909090909
866,00000444,4,0.1,0.90909090909
867,00000468,4,0.25,0.95238095238
868,00000589,5,0.1,0.90909090909
869,0000058C,5,0.1,0.83333333333
870,00000755,6,0.75,0.71428571428
871,000007FD,7,0.1,0.95238095238
872,000000A7,1,0.25,0.95238095238
873,00000291,3,0.01,0.90909090909
874,000005EB,5,0.5,0.71428571428
875,000001F3,2,0.25,0.90909090909
876,00000511,5,0.01,0.90909090909
877,0000072A,6,0.5,0.71428571428
878,00000099,1,0.1,0.71428571428
879,0000044B,4,0.1,0.90909090909
880,0000067C,6,0.025,0.83333333333
881,0000029B,3,0.01,0.83333333333
882,00000558,5,0.05,0.95238095238
883,000005AE,5,0.25,0.90909090909
884,000008BC,7,1.0,0.71428571428
885,00000037,1,0.025,0.90909090909
886,00000228,2,0.5,0.71428571428
887,0000016F,2,0.025,0.95238095238
888,0000090E,8,0.025,0.71428571428
889,00000103,1,0.75,0.90909090909
890,00000000,1,0.01,0.95238095238
891,0000043A,4,0.1,0.95238095238
892,00000091,1,0.1,0.83333333333
893,00000835,7,0.25,0.83333333333
894,0000070F,6,0.5,0.95238095238
895,00000341,3,0.25,0.71428571428
896,0000018C,2,0.025,0.71428571428
897,00000009,1,0.01,0.95238095238
898,00000950,8,0.1,0.83333333333
899,000001A2,2,0.05,0.90909090909
900,000007EC,7,0.05,0.83333333333
901,00000525,5,0.01,0.71428571428
902,00000933,8,0.05,0.71428571428
903,000005FE,5,0.75,0.90909090909
904,000009D7,8,0.75,0.71428571428
905,0000075D,6,1.0,0.95238095238
906,000002EA,3,0.05,0.83333333333
907,0000031A,3,0.1,0.71428571428
908,0000092D,8,0.05,0.83333333333
909,0000099E,8,0.5,0.83333333333
910,00000781,7,0.01,0.95238095238
911,00000296,3,0.01,0.83333333333
912,000000BA,1,0.25,0.83333333333
913,000008AB,7,1.0,0.90909090909
914,00000327,3,0.25,0.95238095238
915,000000D6,1,0.5,0.90909090909
916,00000913,8,0.05,0.95238095238
917,000007D5,7,0.05,0.95238095238
918,000006F3,6,0.25,0.90909090909
919,00000905,8,0.025,0.83333333333
920,000009BD,8,0.75,0.90909090909
921,0000066A,6,0.025,0.95238095238
922,00000145,2,0.01,0.95238095238
923,000005C0,5,0.25,0.71428571428
924,00000770,6,1.0,0.83333333333
925,000005F2,5,0.75,0.95238095238
926,000007A1,7,0.01,0.71428571428
927,00000365,3,0.5,0.83333333333
928,00000530,5,0.025,0.95238095238
929,00000991,8,0.5,0.95238095238
930,00000779,6,1.0,0.71428571428
931,000003FE,4,0.025,0.83333333333
932,0000063B,5,1.0,0.71428571428
933,0000023A,2,0.75,0.90909090909
934,0000092C,8,0.05,0.83333333333
935,000000F4,1,0.75,0.95238095238
936,000001D4,2,0.1,0.83333333333
937,00000356,3,0.5,0.90909090909
938,000001E1,2,0.25,0.95238095238
939,00000318,3,0.1,0.71428571428
940,000006C5,6,0.1,0.90909090909
941,0000057F,5,0.1,0.95238095238
942,000000EE,1,0.5,0.71428571428
943,0000074E,6,0.75,0.71428571428
944,000008C8,8,0.01,0.95238095238
945,00000632,5,1.0,0.83333333333
946,000000F3,1,0.75,0.95238095238
947,0000053E,5,0.025,0.83333333333
948,000000A2,1,0.25,0.95238095238
949,00000288,3,0.01,0.95238095238
950,00000630,5,1.0,0.83333333333
951,0000039B,3,1.0,0.95238095238
952,000004F0,4,1.0,0.83333333333
953,0000053B,5,0.025,0.90909090909
954,000008D5,8,0.01,0.83333333333
955,000006A4,6,0.05,0.83333333333
956,00000079,1,0.1,0.95238095238
957,0000078A,7,0.01,0.90909090909
958,000002C4,3,0.025,0.83333333333
959,000006E4,6,0.25,0.95238095238
960,00000137,1,1.0,0.71428571428
961,000007DC,7,0.05,0.90909090909
962,00000269,2,1.0,0.90909090909
963,000008E5,8,0.01,0.71428571428
964,0000042B,4,0.05,0.83333333333
965,000007CB,7,0.025,0.71428571428
966,00000130,1,1.0,0.83333333333
967,000003C2,4,0.01,0.95238095238
968,000009F2,8,1.0,0.83333333333
969,000005D1,5,0.5,0.95238095238
970,00000197,2,0.05,0.95238095238
971,00000523,5,0.01,0.71428571428
972,000001D6,2,0.1,0.71428571428
973,00000405,4,0.025,0.83333333333
974,000004FF,4,1.0,0.71428571428
975,00000641,6,0.01,0.95238095238
976,00000257,2,0.75,0.71428571428
977,0000095A,8,0.1,0.71428571428
978,0000022E,2,0.5,0.71428571428
979,0000021C,2,0.5,0.83333333333
980,000001C6,2,0.1,0.90909090909
981,00000892,7,0.75,0.71428571428
982,00000546,5,0.025,0.71428571428
983,00000772,6,1.0,0.83333333333
984,000004D7,4,0.75,0.71428571428
985,0000018B,2,0.025,0.71428571428
986,0000003E,1,0.025,0.83333333333
987,00000430,4,0.05,0.71428571428
988,00000829,7,0.25,0.95238095238
989,0000073F,6,0.75,0.90909090909
990,0000018A,2,0.025,0.71428571428
991,00000930,8,0.05,0.71428571428
992,0000074C,6,0.75,0.83333333333
993,000009FE,8,1.0,0.71428571428
994,000007AA,7,0.025,0.95238095238
995,000006F5,6,0.25,0.83333333333
996,00000607,5,0.75,0.83333333333
997,00000214,2,0.5,0.90909090909
998,000000EC,1,0.5,0.71428571428
999,00000875,7,0.75,0.95238095238
1000,000009A6,8,0.5,0.71428571428
1001,000008F5,8,0.025,0.90909090909
1002,000002EF,3,0.05,0.71428571428
1003,00000124,1,1.0,0.90909090909
1004,0000024B,2,0.75,0.83333333333
1005,00000676,6,0.025,0.90909090909
1006,00000527,5,0.01,0.71428571428
1007,00000396,3,0.75,0.71428571428
1008,00000690,6,0.05,0.95238095238
1009,000004C2,4,0.75,0.90909090909
1010,0000005C,1,0.05,0.90909090909
1011,000008C7,8,0.01,0.95238095238
1012,0000081B,7,0.1,0.71428571428
1013,00000578,5,0.1,0.95238095238
1014,0000042E,4,0.05,0.71428571428
1015,000000DC,1,0.5,0.83333333333
1016,0000031F,3,0.1,0.71428571428
1017,00000505,5,0.01,0.95238095238
1018,000009F9,8,1.0,0.71428571428
1019,0000006A,1,0.05,0.83333333333
1020,000007BB,7,0.025,0.90909090909
1021,0000043C,4,0.1,0.95238095238
1022,0000077D,6,1.0,0.71428571428
1023,00000189,2,0.025,0.71428571428
1024,000008E9,8,0.025,0.95238095238
1025,000002D6,3,0.05,0.95238095238
1026,0000032F,3,0.25,0.90909090909
1027,000007C0,7,0.025,0.83333333333
1028,00000101,1,0.75,0.90909090909
1029,00000554,5,0.05,0.95238095238
1030,000003B2,3,1.0,0.83333333333
1031,000004F7,4,1.0,0.71428571428
1032,00000847,7,0.25,0.71428571428
1033,000006B9,6,0.1,0.95238095238
1034,00000073,1,0.05,0.71428571428
1035,000000D7,1,0.5,0.90909090909
1036,00000702,6,0.25,0.71428571428
1037,0000013A,1,1.0,0.71428571428
1038,0000072B,6,0.5,0.71428571428
1039,0000066C,6,0.025,0.95238095238
1040,00000149,2,0.01,0.95238095238
1041,00000567,5,0.05,0.83333333333
1042,000008FC,8,0.025,0.83333333333
1043,00000548,5,0.025,0.71428571428
1044,000002FD,3,0.1,0.95238095238
1045,000005C7,5,0.25,0.71428571428
1046,000004B4,4,0.75,0.95238095238
1047,000009D6,8,0.75,0.71428571428
1048,00000150,2,0.01,0.90909090909
1049,000005AB,5,0.25,0.90909090909
1050,0000093F,8,0.1,0.95238095238
1051,00000229,2,0.5,0.71428571428
1052,0000024A,2,0.75,0.83333333333
1053,0000093E,8,0.1,0.95238095238
1054,00000331,3,0.25,0.90909090909
1055,0000066E,6,0.025,0.95238095238
1056,000005CD,5,0.5,0.95238095238
1057,00000860,7,0.5,0.83333333333
1058,0000016D,2,0.025,0.95238095238
1059,00000771,6,1.0,0.83333333333
1060,000004DE,4,1.0,0.95238095238
1061,000006D0,6,0.1,0.83333333333
1062,0000024D,2,0.75,0.83333333333
1063,0000060C,5,0.75,0.83333333333
1064,000004FA,4,1.0,0.71428571428
1065,000006EE,6,0.25,0.90909090909
1066,0000029F,3,0.01,0.71428571428
1067,000007A7,7,0.01,0.71428571428
1068,00000853,7,0.5,0.90909090909
1069,000004AF,4,0.5,0.71428571428
1070,0000052D,5,0.025,0.95238095238
1071,00000207,2,0.25,0.71428571428
1072,0000049F,4,0.5,0.83333333333
1073,000003A9,3,1.0,0.90909090909
1074,00000221,2,0.5,0.83333333333
1075,000005B7,5,0.25,0.83333333333
1076,0000058A,5,0.1,0.90909090909
1077,00000692,6,0.05,0.95238095238
1078,00000736,6,0.75,0.95238095238
1079,00000877,7,0.75,0.95238095238
1080,0000041E,4,0.05,0.90909090909
1081,000002B7,3,0.025,0.90909090909
1082,00000741,6,0.75,0.90909090909
1083,000008C5,8,0.01,0.95238095238
1084,0000098A,8,0.5,0.95238095238
1085,00000157,2,0.01,0.83333333333
1086,00000001,1,0.01,0.95238095238
1087,000008F3,8,0.025,0.90909090909
1088,000000A0,1,0.25,0.95238095238
1089,000004E0,4,1.0,0.95238095238
1090,000003B7,3,1.0,0.71428571428
1091,00000064,1,0.05,0.83333333333
1092,00000146,2,0.01,0.95238095238
1093,000003FA,4,0.025,0.90909090909
1094,00000939,8,0.1,0.95238095238
1095,000004AA,4,0.5,0.71428571428
1096,000005E4,5,0.5,0.83333333333
1097,000001D9,2,0.1,0.71428571428
1098,000009EB,8,1.0,0.90909090909
1099,00000663,6,0.01,0.71428571428
1100,000001E4,2,0.25,0.95238095238
1101,00000903,8,0.025,0.83333333333
1102,0000037F,3,0.75,0.90909090909
1103,00000033,1,0.025,0.90909090909
1104,000003A1,3,1.0,0.95238095238
1105,000007B5,7,0.025,0.90909090909
1106,000007EF,7,0.05,0.71428571428
1107,00000349,3,0.5,0.95238095238
1108,000005A8,5,0.25,0.95238095238
1109,000009CC,8,0.75,0.83333333333
1110,000002D8,3,0.05,0.95238095238
1111,0000088B,7,0.75,0.83333333333
1112,0000095F,8,0.1,0.71428571428
1113,00000225,2,0.5,0.83333333333
1114,00000433,4,0.05,0.71428571428
1115,0000096E,8,0.25,0.90909090909
1116,00000947,8,0.1,0.90909090909
1117,000003C4,4,0.01,0.95238095238
1118,000006C1,6,0.1,0.95238095238
1119,00000560,5,0.05,0.90909090909
1120,00000261,2,1.0,0.95238095238
1121,000000D1,1,0.5,0.95238095238
1122,000006C9,6,0.1,0.90909090909
1123,00000065,1,0.05,0.83333333333
1124,0000089A,7,1.0,0.95238095238
1125,0000046E,4,0.25,0.90909090909
1126,00000320,3,0.25,0.95238095238
1127,00000533,5,0.025,0.90909090909
1128,0000002D,1,0.025,0.95238095238
1129,0000080B,7,0.1,0.90909090909
1130,000007C3,7,0.025,0.83333333333
1131,000002D9,3,0.05,0.95238095238
1132,000006D3,6,0.1,0.83333333333
1133,0000095B,8,0.1,0.71428571428
1134,000003ED,4,0.025,0.95238095238
1135,0000068E,6,0.025,0.71428571428
1136,00000238,2,0.75,0.95238095238
1137,000009AD,8,0.5,0.71428571428
1138,0000040C,4,0.025,0.71428571428
1139,000003CB,4,0.01,0.90909090909
1140,000001CC,2,0.1,0.83333333333
1141,0000054F,5,0.025,0.71428571428
1142,000008C0,8,0.01,0.95238095238
1143,0000086B,7,0.5,0.71428571428
1144,000008B8,7,1.0,0.71428571428
1145,00000957,8,0.1,0.71428571428
1146,00000802,7,0.1,0.90909090909
1147,000008F1,8,0.025,0.95238095238
1148,0000000B,1,0.01,0.90909090909
1149,000005F3,5,0.75,0.95238095238
1150,000009B7,8,0.75,0.95238095238
1151,000006F4,6,0.25,0.83333333333
1152,00000929,8,0.05,0.83333333333
1153,000009D0,8,0.75,0.71428571428
1154,00000992,8,0.5,0.90909090909
1155,0000089E,7,1.0,0.95238095238
1156,000002A1,3,0.01,0.71428571428
1157,000000C1,1,0.25,0.71428571428
1158,000002FA,3,0.1,0.95238095238
1159,0000099F,8,0.5,0.83333333333
1160,000009DA,8,1.0,0.95238095238
1161,000007AD,7,0.025,0.95238095238
1162,0000081A,7,0.1,0.71428571428
1163,00000429,4,0.05,0.83333333333
1164,0000058D,5,0.1,0.83333333333
1165,000005B6,5,0.25,0.83333333333
1166,000007EE,7,0.05,0.71428571428
1167,0000054E,5,0.025,0.71428571428
1168,000006C8,6,0.1,0.90909090909
1169,0000017E,2,0.025,0.83333333333
1170,00000730,6,0.75,0.95238095238
1171,000005E2,5,0.5,0.83333333333
1172,0000060E,5,0.75,0.71428571428
1173,000003BF,3,1.0,0.71428571428
1174,00000481,4,0.25,0.71428571428
1175,000005D9,5,0.5,0.90909090909
1176,0000006C,1,0.05,0.83333333333
1177,00000334,3,0.25,0.83333333333
1178,00000010,1,0.01,0.90909090909
1179,000001DA,2,0.1,0.71428571428
1180,000004D9,4,1.0,0.95238095238
1181,00000884,7,0.75,0.83333333333
1182,0000007F,1,0.1,0.95238095238
1183,00000390,3,0.75,0.71428571428
1184,00000129,1,1.0,0.90909090909
1185,0000083D,7,0.25,0.83333333333
1186,00000685,6,0.025,0.83333333333
1187,0000044D,4,0.1,0.83333333333
1188,000005FC,5,0.75,0.90909090909
1189,0000004B,1,0.025,0.71428571428
1190,00000422,4,0.05,0.90909090909
1191,00000713,6,0.5,0.90909090909
1192,00000563,5,0.05,0.90909090909
1193,00000175,2,0.025,0.90909090909
1194,0000015D,2,0.01,0.83333333333
1195,00000277,2,1.0,0.71428571428
1196,0000088F,7,0.75,0.71428571428
1197,0000039E,3,1.0,0.95238095238
1198,00000267,2,1.0,0.90909090909
1199,000001BC,2,0.1,0.95238095238
1200,000000A9,1,0.25,0.95238095238
1201,00000472,4,0.25,0.90909090909
1202,0000031E,3,0.1,0.71428571428
1203,0000058F,5,0.1,0.83333333333
1204,000007D7,7,0.05,0.95238095238
1205,00000532,5,0.025,0.90909090909
1206,000002F9,3,0.1,0.95238095238
1207,0000035E,3,0.5,0.83333333333
1208,00000799,7,0.01,0.83333333333
1209,0000086C,7,0.5,0.71428571428
1210,00000283,3,0.01,0.95238095238
1211,00000244,2,0.75,0.83333333333
1212,00000659,6,0.01,0.83333333333
1213,00000324,3,0.25,0.95238095238
1214,0000022B,2,0.5,0.71428571428
1215,000008BA,7,1.0,0.71428571428
1216,000000CB,1,0.5,0.95238095238
1217,000009AC,8,0.5,0.71428571428
1218,0000097C,8,0.25,0.83333333333
1219,00000406,4,0.025,0.71428571428
1220,0000027C,2,1.0,0.71428571428
1221,0000008B,1,0.1,0.90909090909
1222,000006EF,6,0.25,0.90909090909
1223,000006F7,6,0.25,0.83333333333
1224,000005BD,5,0.25,0.83333333333
1225,00000840,7,0.25,0.71428571428
1226,00000383,3,0.75,0.90909090909
1227,0000065B,6,0.01,0.83333333333
1228,000005A2,5,0.25,0.95238095238
1229,00000138,1,1.0,0.71428571428
1230,000003AC,3,1.0,0.83333333333
1231,00000311,3,0.1,0.83333333333
1232,0000064E,6,0.01,0.90909090909
1233,00000171,2,0.025,0.95238095238
1234,00000474,4,0.25,0.83333333333
1235,000008E2,8,0.01,0.71428571428
1236,00000445,4,0.1,0.90909090909
1237,00000097,1,0.1,0.71428571428
1238,000003DB,4,0.01,0.83333333333
1239,0000001C,1,0.01,0.83333333333
1240,000003B4,3,1.0,0.83333333333
1241,000001B7,2,0.05,0.71428571428
1242,000007F5,7,0.05,0.71428571428
1243,000006ED,6,0.25,0.90909090909
1244,000004BD,4,0.75,0.90909090909
1245,000000B0,1,0.25,0.90909090909
1246,000009A1,8,0.5,0.83333333333
1247,0000062D,5,1.0,0.83333333333
1248,00000294,3,0.01,0.83333333333
1249,00000264,2,1.0,0.90909090909
1250,000006B0,6,0.05,0.71428571428
1251,00000651,6,0.01,0.90909090909
1252,000008E3,8,0.01,0.71428571428
1253,00000827,7,0.25,0.95238095238
1254,0000006F,1,0.05,0.71428571428
1255,00000675,6,0.025,0.90909090909
1256,00000166,2,0.01,0.71428571428
1257,000002B9,3,0.025,0.90909090909
1258,000009A8,8,0.5,0.71428571428
1259,0000067A,6,0.025,0.90909090909
1260,00000661,6,0.01,0.71428571428
1261,000000FA,1,0.75,0.90909090909
1262,00000543,5,0.025,0.83333333333
1263,0000067F,6,0.025,0.83333333333
1264,000001EF,2,0.25,0.90909090909
1265,00000819,7,0.1,0.71428571428
1266,0000049D,4,0.5,0.83333333333
1267,000001E2,2,0.25,0.95238095238
1268,00000804,7,0.1,0.90909090909
1269,00000029,1,0.025,0.95238095238
1270,00000233,2,0.75,0.95238095238
1271,0000014E,2,0.01,0.90909090909
1272,00000107,1,0.75,0.83333333333
1273,000001FA,2,0.25,0.83333333333
1274,000000F2,1,0.75,0.95238095238
1275,000008A7,7,1.0,0.90909090909
1276,0000093D,8,0.1,0.95238095238
1277,00000934,8,0.05,0.71428571428
1278,00000470,4,0.25,0.90909090909
1279,0000041D,4,0.05,0.90909090909
1280,000006B8,6,0.1,0.95238095238
1281,000001F2,2,0.25,0.90909090909
1282,000001EC,2,0.25,0.90909090909
1283,00000095,1,0.1,0.83333333333
1284,000002F4,3,0.05,0.71428571428
1285,00000765,6,1.0,0.90909090909
1286,000007A6,7,0.01,0.71428571428
1287,00000617,5,0.75,0.71428571428
1288,000005B3,5,0.25,0.90909090909
1289,00000948,8,0.1,0.90909090909
1290,00000938,8,0.1,0.95238095238
1291,00000147,2,0.01,0.95238095238
1292,000005DD,5,0.5,0.83333333333
1293,00000565,5,0.05,0.83333333333
1294,00000582,5,0.1,0.90909090909
