,index,log2_deme,migration_rate,normal_birth_rate
1295,00000807,7,0.1,0.90909090909
1296,000005A6,5,0.25,0.95238095238
1297,000005D0,5,0.5,0.95238095238
1298,000007C6,7,0.025,0.71428571428
1299,00000734,6,0.75,0.95238095238
1300,00000899,7,1.0,0.95238095238
1301,0000003F,1,0.025,0.83333333333
1302,0000000C,1,0.01,0.90909090909
1303,0000001E,1,0.01,0.71428571428
1304,00000347,3,0.25,0.71428571428
1305,000005C8,5,0.5,0.95238095238
1306,0000096D,8,0.25,0.90909090909
1307,00000425,4,0.05,0.83333333333
1308,00000797,7,0.01,0.83333333333
1309,00000231,2,0.75,0.95238095238
1310,0000091E,8,0.05,0.90909090909
1311,000001C2,2,0.1,0.90909090909
1312,000006F6,6,0.25,0.83333333333
1313,0000074F,6,0.75,0.71428571428
1314,00000814,7,0.1,0.83333333333
1315,00000114,1,0.75,0.71428571428
1316,000003A8,3,1.0,0.90909090909
1317,00000750,6,0.75,0.71428571428
1318,00000975,8,0.25,0.83333333333
1319,000001B9,2,0.1,0.95238095238
1320,00000792,7,0.01,0.90909090909
1321,000009CE,8,0.75,0.71428571428
1322,00000936,8,0.05,0.71428571428
1323,0000084F,7,0.5,0.95238095238
1324,0000095C,8,0.1,0.71428571428
1325,00000777,6,1.0,0.71428571428
1326,0000096A,8,0.25,0.90909090909
1327,00000243,2,0.75,0.90909090909
1328,000009BB,8,0.75,0.90909090909
1329,0000092E,8,0.05,0.71428571428
1330,00000391,3,0.75,0.71428571428
1331,00000499,4,0.5,0.90909090909
1332,000007B1,7,0.025,0.95238095238
1333,00000284,3,0.01,0.95238095238
1334,00000963,8,0.25,0.95238095238
1335,00000381,3,0.75,0.90909090909
1336,00000644,6,0.01,0.95238095238
1337,000008DB,8,0.01,0.83333333333
1338,0000029D,3,0.01,0.83333333333
1339,00000372,3,0.75,0.95238095238
1340,000005E8,5,0.5,0.71428571428
1341,000000ED,1,0.5,0.71428571428
1342,00000359,3,0.5,0.90909090909
1343,0000048B,4,0.5,0.95238095238
1344,000006E5,6,0.25,0.95238095238
1345,0000044A,4,0.1,0.90909090909
1346,00000044,1,0.025,0.83333333333
1347,0000087A,7,0.75,0.90909090909
1348,0000008A,1,0.1,0.90909090909
1349,0000045C,4,0.1,0.71428571428
1350,000008CA,8,0.01,0.90909090909
1351,000004FE,4,1.0,0.71428571428
1352,000006BD,6,0.1,0.95238095238
1353,00000609,5,0.75,0.83333333333
1354,00000477,4,0.25,0.83333333333
1355,000002E0,3,0.05,0.90909090909
1356,00000067,1,0.05,0.83333333333
1357,000008B7,7,1.0,0.71428571428
1358,0000026F,2,1.0,0.83333333333
1359,000008CD,8,0.01,0.90909090909
1360,000007E5,7,0.05,0.83333333333
1361,0000005F,1,0.05,0.90909090909
1362,00000553,5,0.05,0.95238095238
1363,000007D3,7,0.05,0.95238095238
1364,000007B7,7,0.025,0.90909090909
1365,0000027F,2,1.0,0.71428571428
1366,000004B0,4,0.75,0.95238095238
1367,0000013E,1,1.0,0.71428571428
1368,0000019E,2,0.05,0.90909090909
1369,00000669,6,0.025,0.95238095238
1370,0000088C,7,0.75,0.83333333333
1371,000004F5,4,1.0,0.83333333333
1372,00000340,3,0.25,0.71428571428
1373,000002CB,3,0.025,0.71428571428
1374,000009D5,8,0.75,0.71428571428
1375,00000282,3,0.01,0.95238095238
1376,000008D2,8,0.01,0.90909090909
1377,00000673,6,0.025,0.90909090909
1378,0000055C,5,0.05,0.90909090909
1379,00000691,6,0.05,0.95238095238
1380,000002B6,3,0.025,0.90909090909
1381,0000089B,7,1.0,0.95238095238
1382,00000483,4,0.25,0.71428571428
1383,0000016E,2,0.025,0.95238095238
1384,00000738,6,0.75,0.95238095238
1385,000009F5,8,1.0,0.83333333333
1386,0000035B,3,0.5,0.90909090909
1387,00000054,1,0.05,0.95238095238
1388,000009E9,8,1.0,0.90909090909
1389,00000027,1,0.01,0.71428571428
1390,000006A8,6,0.05,0.83333333333
1391,00000549,5,0.025,0.71428571428
1392,000002CA,3,0.025,0.71428571428
1393,00000924,8,0.05,0.83333333333
1394,00000055,1,0.05,0.95238095238
1395,0000077C,6,1.0,0.71428571428
1396,00000966,8,0.25,0.95238095238
1397,0000042F,4,0.05,0.71428571428
1398,00000416,4,0.05,0.95238095238
1399,000009CF,8,0.75,0.71428571428
1400,0000009B,1,0.1,0.71428571428
1401,00000154,2,0.01,0.83333333333
1402,00000524,5,0.01,0.71428571428
1403,0000025E,2,1.0,0.95238095238
1404,00000680,6,0.025,0.83333333333
1405,000002CE,3,0.025,0.71428571428
1406,000003A6,3,1.0,0.90909090909
1407,000003BB,3,1.0,0.71428571428
1408,0000068D,6,0.025,0.71428571428
1409,00000794,7,0.01,0.83333333333
1410,000003EC,4,0.025,0.95238095238
1411,000008FA,8,0.025,0.90909090909
1412,00000226,2,0.5,0.71428571428
1413,00000631,5,1.0,0.83333333333
1414,00000326,3,0.25,0.95238095238
1415,000000FF,1,0.75,0.90909090909
1416,0000070C,6,0.5,0.95238095238
1417,00000139,1,1.0,0.71428571428
1418,00000281,3,0.01,0.95238095238
1419,000004BB,4,0.75,0.90909090909
1420,000005A9,5,0.25,0.95238095238
1421,000001C7,2,0.1,0.90909090909
1422,0000002F,1,0.025,0.95238095238
1423,000001EE,2,0.25,0.90909090909
1424,000008FE,8,0.025,0.83333333333
1425,000003E5,4,0.01,0.71428571428
1426,000003E1,4,0.01,0.71428571428
1427,00000848,7,0.5,0.95238095238
1428,0000013F,1,1.0,0.71428571428
1429,00000893,7,0.75,0.71428571428
1430,000006A6,6,0.05,0.83333333333
1431,000005CA,5,0.5,0.95238095238
1432,000006A9,6,0.05,0.83333333333
1433,00000063,1,0.05,0.90909090909
1434,0000009A,1,0.1,0.71428571428
1435,00000275,2,1.0,0.83333333333
1436,00000555,5,0.05,0.95238095238
1437,000000D2,1,0.5,0.90909090909
1438,000007F4,7,0.05,0.71428571428
1439,00000978,8,0.25,0.83333333333
1440,00000080,1,0.1,0.95238095238
1441,00000335,3,0.25,0.83333333333
1442,000001F0,2,0.25,0.90909090909
1443,000003D7,4,0.01,0.83333333333
1444,000001CF,2,0.1,0.83333333333
1445,0000012E,1,1.0,0.83333333333
1446,000005B9,5,0.25,0.83333333333
1447,00000076,1,0.05,0.71428571428
1448,000001CD,2,0.1,0.83333333333
1449,000007E1,7,0.05,0.90909090909
1450,00000656,6,0.01,0.83333333333
1451,000009D3,8,0.75,0.71428571428
1452,00000943,8,0.1,0.90909090909
1453,000007A0,7,0.01,0.71428571428
1454,00000516,5,0.01,0.83333333333
1455,0000095E,8,0.1,0.71428571428
1456,00000061,1,0.05,0.90909090909
1457,0000085A,7,0.5,0.90909090909
1458,000005AA,5,0.25,0.90909090909
1459,00000440,4,0.1,0.95238095238
1460,0000065D,6,0.01,0.83333333333
1461,000000F8,1,0.75,0.95238095238
1462,000004AD,4,0.5,0.71428571428
1463,000004C9,4,0.75,0.83333333333
1464,00000901,8,0.025,0.83333333333
1465,000004E8,4,1.0,0.90909090909
1466,000001DF,2,0.1,0.71428571428
1467,000002FC,3,0.1,0.95238095238
1468,000002BB,3,0.025,0.90909090909
1469,00000921,8,0.05,0.90909090909
1470,000006FC,6,0.25,0.83333333333
1471,000005C5,5,0.25,0.71428571428
1472,00000050,1,0.05,0.95238095238
1473,000000A6,1,0.25,0.95238095238
1474,000006BF,6,0.1,0.95238095238
1475,000006CA,6,0.1,0.90909090909
1476,0000011B,1,1.0,0.95238095238
1477,000003CC,4,0.01,0.90909090909
1478,000000B6,1,0.25,0.83333333333
1479,000001A9,2,0.05,0.83333333333
1480,00000087,1,0.1,0.90909090909
1481,000000F6,1,0.75,0.95238095238
1482,000009AF,8,0.5,0.71428571428
1483,000001A7,2,0.05,0.83333333333
1484,00000568,5,0.05,0.83333333333
1485,0000045F,4,0.1,0.71428571428
1486,0000008D,1,0.1,0.83333333333
1487,00000870,7,0.75,0.95238095238
1488,0000065A,6,0.01,0.83333333333
1489,000001C8,2,0.1,0.90909090909
1490,00000173,2,0.025,0.90909090909
1491,0000023D,2,0.75,0.90909090909
1492,00000865,7,0.5,0.83333333333
1493,00000448,4,0.1,0.90909090909
1494,0000011C,1,1.0,0.95238095238
1495,00000354,3,0.5,0.90909090909
1496,00000753,6,0.75,0.71428571428
1497,00000117,1,0.75,0.71428571428
1498,00000695,6,0.05,0.95238095238
1499,0000083A,7,0.25,0.83333333333
1500,00000024,1,0.01,0.71428571428
1501,000001DD,2,0.1,0.71428571428
1502,0000063F,5,1.0,0.71428571428
1503,000000F7,1,0.75,0.95238095238
1504,000007A9,7,0.025,0.95238095238
1505,000009E5,8,1.0,0.90909090909
1506,000000AA,1,0.25,0.90909090909
1507,0000052E,5,0.025,0.95238095238
1508,00000557,5,0.05,0.95238095238
1509,000004A1,4,0.5,0.83333333333
1510,0000087B,7,0.75,0.90909090909
1511,000006DF,6,0.1,0.71428571428
1512,00000402,4,0.025,0.83333333333
1513,000001B6,2,0.05,0.71428571428
1514,00000598,5,0.1,0.71428571428
1515,00000979,8,0.25,0.83333333333
1516,00000336,3,0.25,0.83333333333
1517,00000141,2,0.01,0.95238095238
1518,000007ED,7,0.05,0.83333333333
1519,0000098F,8,0.5,0.95238095238
1520,000002DB,3,0.05,0.90909090909
1521,000006AF,6,0.05,0.71428571428
1522,0000012B,1,1.0,0.90909090909
1523,00000397,3,0.75,0.71428571428
1524,000000FE,1,0.75,0.90909090909
1525,00000408,4,0.025,0.71428571428
1526,00000621,5,1.0,0.95238095238
1527,0000092A,8,0.05,0.83333333333
1528,000005DE,5,0.5,0.83333333333
1529,00000665,6,0.01,0.71428571428
1530,000005F7,5,0.75,0.95238095238
1531,000004A9,4,0.5,0.71428571428
1532,00000344,3,0.25,0.71428571428
1533,000007E3,7,0.05,0.90909090909
1534,00000212,2,0.5,0.90909090909
1535,0000082A,7,0.25,0.90909090909
1536,00000232,2,0.75,0.95238095238
1537,00000634,5,1.0,0.83333333333
1538,000002E7,3,0.05,0.83333333333
1539,000005A5,5,0.25,0.95238095238
1540,000002C1,3,0.025,0.83333333333
1541,000008BF,7,1.0,0.71428571428
1542,00000751,6,0.75,0.71428571428
1543,000004A6,4,0.5,0.71428571428
1544,0000004E,1,0.025,0.71428571428
1545,00000889,7,0.75,0.83333333333
1546,00000182,2,0.025,0.83333333333
1547,000003AD,3,1.0,0.83333333333
1548,00000999,8,0.5,0.90909090909
1549,0000049A,4,0.5,0.90909090909
1550,000000C5,1,0.25,0.71428571428
1551,0000060F,5,0.75,0.71428571428
1552,00000592,5,0.1,0.83333333333
1553,000000BF,1,0.25,0.71428571428
1554,000007A2,7,0.01,0.71428571428
1555,000003B1,3,1.0,0.83333333333
1556,00000818,7,0.1,0.71428571428
1557,0000040B,4,0.025,0.71428571428
1558,0000064F,6,0.01,0.90909090909
1559,00000645,6,0.01,0.95238095238
1560,000007C8,7,0.025,0.71428571428
1561,00000698,6,0.05,0.95238095238
1562,00000618,5,1.0,0.95238095238
1563,00000628,5,1.0,0.90909090909
1564,000002B1,3,0.025,0.95238095238
1565,00000039,1,0.025,0.90909090909
1566,00000988,8,0.5,0.95238095238
1567,000004AC,4,0.5,0.71428571428
1568,000009DD,8,1.0,0.95238095238
1569,0000044C,4,0.1,0.83333333333
1570,000003D8,4,0.01,0.83333333333
1571,00000851,7,0.5,0.95238095238
1572,00000084,1,0.1,0.90909090909
1573,00000686,6,0.025,0.71428571428
1574,000000E4,1,0.5,0.83333333333
1575,0000025A,2,1.0,0.95238095238
1576,00000465,4,0.25,0.95238095238
1577,00000916,8,0.05,0.95238095238
1578,000006F9,6,0.25,0.83333333333
1579,00000718,6,0.5,0.90909090909
1580,00000942,8,0.1,0.90909090909
1581,000005D8,5,0.5,0.90909090909
1582,00000161,2,0.01,0.71428571428
1583,000006B3,6,0.05,0.71428571428
1584,000002B2,3,0.025,0.90909090909
1585,00000307,3,0.1,0.90909090909
1586,00000646,6,0.01,0.95238095238
1587,000004A8,4,0.5,0.71428571428
1588,00000597,5,0.1,0.71428571428
1589,0000094A,8,0.1,0.90909090909
1590,0000021E,2,0.5,0.83333333333
1591,0000073E,6,0.75,0.90909090909
1592,000008F6,8,0.025,0.90909090909
1593,000006AC,6,0.05,0.83333333333
1594,000006D8,6,0.1,0.71428571428
1595,00000041,1,0.025,0.83333333333
1596,000002CF,3,0.025,0.71428571428
1597,0000037C,3,0.75,0.90909090909
1598,0000035A,3,0.5,0.90909090909
1599,000005B8,5,0.25,0.83333333333
1600,00000454,4,0.1,0.83333333333
1601,0000055E,5,0.05,0.90909090909
1602,0000093C,8,0.1,0.95238095238
1603,000003E7,4,0.01,0.71428571428
1604,00000945,8,0.1,0.90909090909
1605,00000660,6,0.01,0.71428571428
1606,0000082E,7,0.25,0.90909090909
1607,00000805,7,0.1,0.90909090909
1608,000009CA,8,0.75,0.83333333333
1609,00000697,6,0.05,0.95238095238
1610,0000090C,8,0.025,0.71428571428
1611,000006C7,6,0.1,0.90909090909
1612,0000077A,6,1.0,0.71428571428
1613,000002FB,3,0.1,0.95238095238
1614,00000577,5,0.05,0.71428571428
1615,000007CF,7,0.025,0.71428571428
1616,0000097F,8,0.25,0.71428571428
1617,000003DC,4,0.01,0.83333333333
1618,000005F4,5,0.75,0.95238095238
1619,000001A8,2,0.05,0.83333333333
1620,000005F5,5,0.75,0.95238095238
1621,00000763,6,1.0,0.90909090909
1622,0000026D,2,1.0,0.83333333333
1623,00000785,7,0.01,0.95238095238
1624,00000920,8,0.05,0.90909090909
1625,00000193,2,0.05,0.95238095238
1626,0000078E,7,0.01,0.90909090909
1627,000008BD,7,1.0,0.71428571428
1628,000005EC,5,0.5,0.71428571428
1629,00000788,7,0.01,0.95238095238
1630,00000925,8,0.05,0.83333333333
1631,0000098B,8,0.5,0.95238095238
1632,000003D6,4,0.01,0.83333333333
1633,00000705,6,0.25,0.71428571428
1634,00000709,6,0.5,0.95238095238
1635,000003F3,4,0.025,0.90909090909
1636,00000604,5,0.75,0.83333333333
1637,0000030C,3,0.1,0.83333333333
1638,00000302,3,0.1,0.90909090909
1639,00000457,4,0.1,0.71428571428
1640,0000052F,5,0.025,0.95238095238
1641,000000BC,1,0.25,0.83333333333
1642,00000188,2,0.025,0.71428571428
1643,00000973,8,0.25,0.90909090909
1644,000003FC,4,0.025,0.83333333333
1645,0000035F,3,0.5,0.83333333333
1646,00000739,6,0.75,0.95238095238
1647,0000071E,6,0.5,0.83333333333
1648,000001D8,2,0.1,0.71428571428
1649,000004FB,4,1.0,0.71428571428
1650,000005F6,5,0.75,0.95238095238
1651,000004D6,4,0.75,0.71428571428
1652,000003EB,4,0.025,0.95238095238
1653,00000070,1,0.05,0.71428571428
1654,0000081E,7,0.1,0.71428571428
1655,000000B3,1,0.25,0.90909090909
1656,00000989,8,0.5,0.95238095238
1657,00000276,2,1.0,0.71428571428
1658,00000143,2,0.01,0.95238095238
1659,0000069B,6,0.05,0.90909090909
1660,000004A7,4,0.5,0.71428571428
1661,000006DE,6,0.1,0.71428571428
1662,00000120,1,1.0,0.95238095238
1663,000001BD,2,0.1,0.95238095238
1664,000009A0,8,0.5,0.83333333333
1665,000008CE,8,0.01,0.90909090909
1666,000001F9,2,0.25,0.83333333333
1667,000001AE,2,0.05,0.71428571428
1668,00000164,2,0.01,0.71428571428
1669,0000025D,2,1.0,0.95238095238
1670,00000362,3,0.5,0.83333333333
1671,0000079A,7,0.01,0.83333333333
1672,00000380,3,0.75,0.90909090909
1673,000004EC,4,1.0,0.83333333333
1674,00000198,2,0.05,0.95238095238
1675,000000F1,1,0.75,0.95238095238
1676,000009D2,8,0.75,0.71428571428
1677,0000023C,2,0.75,0.90909090909
1678,00000040,1,0.025,0.83333333333
1679,00000823,7,0.25,0.95238095238
1680,000006FD,6,0.25,0.83333333333
1681,00000701,6,0.25,0.71428571428
1682,00000971,8,0.25,0.90909090909
1683,00000118,1,1.0,0.95238095238
1684,0000055D,5,0.05,0.90909090909
1685,000000A8,1,0.25,0.95238095238
1686,00000167,2,0.01,0.71428571428
1687,0000027A,2,1.0,0.71428571428
1688,00000613,5,0.75,0.71428571428
1689,000003C1,4,0.01,0.95238095238
1690,0000004F,1,0.025,0.71428571428
1691,0000041F,4,0.05,0.90909090909
1692,000004D5,4,0.75,0.71428571428
1693,00000459,4,0.1,0.71428571428
1694,000005B2,5,0.25,0.90909090909
1695,00000704,6,0.25,0.71428571428
1696,00000837,7,0.25,0.83333333333
1697,000000C7,1,0.25,0.71428571428
1698,000004BE,4,0.75,0.90909090909
1699,000009B1,8,0.75,0.95238095238
1700,000007BC,7,0.025,0.83333333333
1701,0000046F,4,0.25,0.90909090909
1702,00000250,2,0.75,0.71428571428
1703,00000266,2,1.0,0.90909090909
1704,0000003B,1,0.025,0.90909090909
1705,000001AB,2,0.05,0.83333333333
1706,00000251,2,0.75,0.71428571428
1707,00000441,4,0.1,0.95238095238
1708,0000059B,5,0.1,0.71428571428
1709,00000868,7,0.5,0.71428571428
1710,000009BE,8,0.75,0.90909090909
1711,000009E7,8,1.0,0.90909090909
1712,00000881,7,0.75,0.90909090909
1713,00000096,1,0.1,0.71428571428
1714,00000531,5,0.025,0.95238095238
1715,0000061A,5,1.0,0.95238095238
1716,000005DF,5,0.5,0.83333333333
1717,00000872,7,0.75,0.95238095238
1718,00000153,2,0.01,0.90909090909
1719,000007C5,7,0.025,0.83333333333
1720,000004DD,4,1.0,0.95238095238
1721,000005B1,5,0.25,0.90909090909
1722,000001D3,2,0.1,0.83333333333
1723,000008D6,8,0.01,0.83333333333
1724,00000215,2,0.5,0.90909090909
1725,000008BB,7,1.0,0.71428571428
1726,0000025C,2,1.0,0.95238095238
1727,000000B5,1,0.25,0.83333333333
1728,000001A0,2,0.05,0.90909090909
1729,00000681,6,0.025,0.83333333333
1730,00000438,4,0.1,0.95238095238
1731,00000246,2,0.75,0.83333333333
1732,00000731,6,0.75,0.95238095238
1733,00000650,6,0.01,0.90909090909
1734,0000007B,1,0.1,0.95238095238
1735,0000046D,4,0.25,0.90909090909
1736,000007D1,7,0.05,0.95238095238
1737,0000081C,7,0.1,0.71428571428
1738,0000032A,3,0.25,0.90909090909
1739,00000890,7,0.75,0.71428571428
1740,000003E9,4,0.025,0.95238095238
1741,00000534,5,0.025,0.90909090909
1742,000005F8,5,0.75,0.95238095238
1743,00000075,1,0.05,0.71428571428
1744,000005C2,5,0.25,0.71428571428
1745,000006EB,6,0.25,0.90909090909
1746,000006D5,6,0.1,0.83333333333
1747,000004BF,4,0.75,0.90909090909
1748,000002E8,3,0.05,0.83333333333
1749,000003FB,4,0.025,0.90909090909
1750,00000717,6,0.5,0.90909090909
1751,00000453,4,0.1,0.83333333333
1752,00000842,7,0.25,0.71428571428
1753,000005BE,5,0.25,0.71428571428
1754,00000388,3,0.75,0.83333333333
1755,00000046,1,0.025,0.71428571428
1756,0000001A,1,0.01,0.83333333333
1757,000005E0,5,0.5,0.83333333333
1758,00000918,8,0.05,0.95238095238
1759,00000725,6,0.5,0.83333333333
1760,000006BB,6,0.1,0.95238095238
1761,00000461,4,0.25,0.95238095238
1762,00000447,4,0.1,0.90909090909
1763,00000051,1,0.05,0.95238095238
1764,00000752,6,0.75,0.71428571428
1765,0000053A,5,0.025,0.90909090909
1766,00000655,6,0.01,0.83333333333
1767,00000984,8,0.25,0.71428571428
1768,000002EC,3,0.05,0.83333333333
1769,0000088D,7,0.75,0.83333333333
1770,000001FE,2,0.25,0.71428571428
1771,00000007,1,0.01,0.95238095238
1772,0000072E,6,0.5,0.71428571428
1773,00000370,3,0.75,0.95238095238
1774,000003FF,4,0.025,0.83333333333
1775,00000733,6,0.75,0.95238095238
1776,000002BD,3,0.025,0.83333333333
1777,00000715,6,0.5,0.90909090909
1778,000007FB,7,0.1,0.95238095238
1779,00000519,5,0.01,0.83333333333
1780,0000091F,8,0.05,0.90909090909
1781,00000795,7,0.01,0.83333333333
1782,000007EA,7,0.05,0.83333333333
1783,000004E3,4,1.0,0.90909090909
1784,0000047E,4,0.25,0.71428571428
1785,0000010F,1,0.75,0.71428571428
1786,00000047,1,0.025,0.71428571428
1787,0000077F,6,1.0,0.71428571428
1788,0000087D,7,0.75,0.90909090909
1789,0000079D,7,0.01,0.83333333333
1790,000006C3,6,0.1,0.90909090909
1791,00000958,8,0.1,0.71428571428
1792,00000754,6,0.75,0.71428571428
1793,00000806,7,0.1,0.90909090909
1794,000003A7,3,1.0,0.90909090909
1795,000002F6,3,0.05,0.71428571428
1796,00000547,5,0.025,0.71428571428
1797,00000400,4,0.025,0.83333333333
1798,00000274,2,1.0,0.83333333333
1799,000007F7,7,0.05,0.71428571428
1800,000009B3,8,0.75,0.95238095238
1801,000003F9,4,0.025,0.90909090909
1802,000007AF,7,0.025,0.95238095238
1803,000008AE,7,1.0,0.83333333333
1804,0000060D,5,0.75,0.83333333333
1805,000006E9,6,0.25,0.95238095238
1806,000005FD,5,0.75,0.90909090909
1807,0000017A,2,0.025,0.90909090909
1808,00000218,2,0.5,0.90909090909
1809,00000985,8,0.25,0.71428571428
1810,000002D1,3,0.05,0.95238095238
1811,00000028,1,0.025,0.95238095238
1812,000008A5,7,1.0,0.90909090909
1813,00000744,6,0.75,0.83333333333
1814,00000142,2,0.01,0.95238095238
1815,00000082,1,0.1,0.90909090909
1816,000002A9,3,0.025,0.95238095238
1817,00000463,4,0.25,0.95238095238
1818,00000378,3,0.75,0.95238095238
1819,00000348,3,0.5,0.95238095238
1820,00000271,2,1.0,0.83333333333
1821,00000357,3,0.5,0.90909090909
1822,00000968,8,0.25,0.95238095238
1823,000006E3,6,0.25,0.95238095238
1824,00000375,3,0.75,0.95238095238
1825,0000055B,5,0.05,0.90909090909
1826,00000358,3,0.5,0.90909090909
1827,000003B5,3,1.0,0.83333333333
1828,0000056B,5,0.05,0.83333333333
1829,000003C8,4,0.01,0.95238095238
1830,0000089C,7,1.0,0.95238095238
1831,00000994,8,0.5,0.90909090909
1832,000009D1,8,0.75,0.71428571428
1833,000004F8,4,1.0,0.71428571428
1834,00000980,8,0.25,0.71428571428
1835,0000054B,5,0.025,0.71428571428
1836,0000068A,6,0.025,0.71428571428
1837,00000694,6,0.05,0.95238095238
1838,0000010B,1,0.75,0.83333333333
1839,0000053D,5,0.025,0.83333333333
1840,0000065F,6,0.01,0.71428571428
1841,000005AC,5,0.25,0.90909090909
1842,00000038,1,0.025,0.90909090909
1843,0000098D,8,0.5,0.95238095238
1844,000004EE,4,1.0,0.83333333333
1845,000006DD,6,0.1,0.71428571428
1846,000004AE,4,0.5,0.71428571428
1847,00000507,5,0.01,0.95238095238
1848,00000278,2,1.0,0.71428571428
1849,000001FB,2,0.25,0.83333333333
1850,0000028F,3,0.01,0.90909090909
1851,00000019,1,0.01,0.83333333333
1852,00000403,4,0.025,0.83333333333
1853,00000417,4,0.05,0.95238095238
1854,0000000D,1,0.01,0.90909090909
1855,000003DD,4,0.01,0.83333333333
1856,00000596,5,0.1,0.71428571428
1857,0000053C,5,0.025,0.83333333333
1858,00000179,2,0.025,0.90909090909
1859,0000037E,3,0.75,0.90909090909
1860,0000097E,8,0.25,0.71428571428
1861,000003AB,3,1.0,0.90909090909
1862,00000773,6,1.0,0.83333333333
1863,00000487,4,0.25,0.71428571428
1864,00000880,7,0.75,0.90909090909
1865,00000643,6,0.01,0.95238095238
1866,0000026B,2,1.0,0.90909090909
1867,000002CD,3,0.025,0.71428571428
1868,000008D8,8,0.01,0.83333333333
1869,00000469,4,0.25,0.95238095238
1870,00000411,4,0.05,0.95238095238
1871,0000019A,2,0.05,0.90909090909
1872,00000517,5,0.01,0.83333333333
1873,00000293,3,0.01,0.90909090909
1874,000009D9,8,1.0,0.95238095238
1875,00000475,4,0.25,0.83333333333
1876,000009EE,8,1.0,0.83333333333
1877,00000858,7,0.5,0.90909090909
1878,000008DD,8,0.01,0.83333333333
1879,000006B1,6,0.05,0.71428571428
1880,00000576,5,0.05,0.71428571428
1881,000000D0,1,0.5,0.95238095238
1882,000003EE,4,0.025,0.95238095238
1883,00000556,5,0.05,0.95238095238
1884,00000423,4,0.05,0.90909090909
1885,0000057A,5,0.1,0.95238095238
1886,000005CB,5,0.5,0.95238095238
1887,0000096B,8,0.25,0.90909090909
1888,00000912,8,0.05,0.95238095238
1889,00000917,8,0.05,0.95238095238
1890,0000038E,3,0.75,0.71428571428
1891,00000382,3,0.75,0.90909090909
1892,0000009F,1,0.1,0.71428571428
1893,00000131,1,1.0,0.83333333333
1894,000005F0,5,0.75,0.95238095238
1895,000003C6,4,0.01,0.95238095238
1896,000008E8,8,0.025,0.95238095238
1897,0000074D,6,0.75,0.83333333333
1898,00000843,7,0.25,0.71428571428
1899,000008F8,8,0.025,0.90909090909
1900,000005E6,5,0.5,0.71428571428
1901,000000EB,1,0.5,0.71428571428
1902,0000063E,5,1.0,0.71428571428
1903,0000022C,2,0.5,0.71428571428
1904,00000104,1,0.75,0.83333333333
1905,00000415,4,0.05,0.95238095238
1906,000004B2,4,0.75,0.95238095238
1907,0000094E,8,0.1,0.83333333333
1908,0000034B,3,0.5,0.95238095238
1909,000006FE,6,0.25,0.71428571428
1910,000001D1,2,0.1,0.83333333333
1911,00000544,5,0.025,0.83333333333
1912,0000000F,1,0.01,0.90909090909
1913,00000263,2,1.0,0.90909090909
1914,0000043B,4,0.1,0.95238095238
1915,000001D0,2,0.1,0.83333333333
1916,000006CE,6,0.1,0.83333333333
1917,000006BE,6,0.1,0.95238095238
1918,000001A1,2,0.05,0.90909090909
1919,0000020A,2,0.5,0.95238095238
1920,000007E6,7,0.05,0.83333333333
1921,00000006,1,0.01,0.95238095238
1922,000002A8,3,0.025,0.95238095238
1923,00000313,3,0.1,0.83333333333
1924,000005EF,5,0.5,0.71428571428
1925,0000088E,7,0.75,0.71428571428
1926,0000002A,1,0.025,0.95238095238
