,index,log2_deme,migration_rate,normal_birth_rate
1927,00000590,5,0.1,0.83333333333
1928,0000007A,1,0.1,0.95238095238
1929,0000067E,6,0.025,0.83333333333
1930,0000090F,8,0.025,0.71428571428
1931,00000757,6,0.75,0.71428571428
1932,000005EA,5,0.5,0.71428571428
1933,00000462,4,0.25,0.95238095238
1934,000004DF,4,1.0,0.95238095238
1935,000009BA,8,0.75,0.90909090909
1936,0000051D,5,0.01,0.83333333333
1937,00000240,2,0.75,0.90909090909
1938,000004DA,4,1.0,0.95238095238
1939,000003DF,4,0.01,0.71428571428
1940,00000329,3,0.25,0.95238095238
1941,000005A7,5,0.25,0.95238095238
1942,000002F1,3,0.05,0.71428571428
1943,000005E1,5,0.5,0.83333333333
1944,00000247,2,0.75,0.83333333333
1945,000005AD,5,0.25,0.90909090909
1946,00000260,2,1.0,0.95238095238
1947,000004C6,4,0.75,0.83333333333
1948,0000094D,8,0.1,0.83333333333
1949,00000209,2,0.5,0.95238095238
1950,00000289,3,0.01,0.95238095238
1951,0000040A,4,0.025,0.71428571428
1952,00000600,5,0.75,0.90909090909
1953,0000062F,5,1.0,0.83333333333
1954,00000187,2,0.025,0.71428571428
1955,00000897,7,0.75,0.71428571428
1956,00000085,1,0.1,0.90909090909
1957,000002F3,3,0.05,0.71428571428
1958,0000063D,5,1.0,0.71428571428
1959,000006BA,6,0.1,0.95238095238
1960,00000048,1,0.025,0.71428571428
1961,00000760,6,1.0,0.95238095238
1962,0000010A,1,0.75,0.83333333333
1963,000000C8,1,0.5,0.95238095238
1964,0000052C,5,0.025,0.95238095238
1965,000002DF,3,0.05,0.90909090909
1966,000002F2,3,0.05,0.71428571428
1967,00000700,6,0.25,0.71428571428
1968,00000252,2,0.75,0.71428571428
1969,000003C5,4,0.01,0.95238095238
1970,00000696,6,0.05,0.95238095238
1971,000001E7,2,0.25,0.95238095238
1972,00000106,1,0.75,0.83333333333
1973,00000162,2,0.01,0.71428571428
1974,000000BB,1,0.25,0.83333333333
1975,000005D3,5,0.5,0.90909090909
1976,000001D5,2,0.1,0.83333333333
1977,00000160,2,0.01,0.71428571428
1978,000007BE,7,0.025,0.83333333333
1979,000003C3,4,0.01,0.95238095238
1980,00000914,8,0.05,0.95238095238
1981,000001CB,2,0.1,0.90909090909
1982,000006BC,6,0.1,0.95238095238
1983,000006A1,6,0.05,0.90909090909
1984,000000CE,1,0.5,0.95238095238
1985,000007FC,7,0.1,0.95238095238
1986,0000070D,6,0.5,0.95238095238
1987,00000896,7,0.75,0.71428571428
1988,000009E3,8,1.0,0.90909090909
1989,0000008F,1,0.1,0.83333333333
1990,000008B6,7,1.0,0.71428571428
1991,0000084E,7,0.5,0.95238095238
1992,000003EA,4,0.025,0.95238095238
1993,0000070E,6,0.5,0.95238095238
1994,0000056A,5,0.05,0.83333333333
1995,00000658,6,0.01,0.83333333333
1996,000008E4,8,0.01,0.71428571428
1997,00000606,5,0.75,0.83333333333
1998,000004CD,4,0.75,0.83333333333
1999,0000053F,5,0.025,0.83333333333
2000,0000056E,5,0.05,0.71428571428
2001,0000074A,6,0.75,0.83333333333
2002,0000075F,6,1.0,0.95238095238
2003,000006D9,6,0.1,0.71428571428
2004,000002BE,3,0.025,0.83333333333
2005,00000004,1,0.01,0.95238095238
2006,00000018,1,0.01,0.83333333333
2007,000002E3,3,0.05,0.90909090909
2008,00000186,2,0.025,0.71428571428
2009,000004E5,4,1.0,0.90909090909
2010,00000687,6,0.025,0.71428571428
2011,000003FD,4,0.025,0.83333333333
2012,000004B3,4,0.75,0.95238095238
2013,00000974,8,0.25,0.83333333333
2014,0000054C,5,0.025,0.71428571428
2015,000007BD,7,0.025,0.83333333333
2016,00000529,5,0.025,0.95238095238
2017,00000280,3,0.01,0.95238095238
2018,000000DE,1,0.5,0.83333333333
2019,00000944,8,0.1,0.90909090909
2020,000007D9,7,0.05,0.95238095238
2021,000005B0,5,0.25,0.90909090909
2022,000000BE,1,0.25,0.71428571428
2023,000007B9,7,0.025,0.90909090909
2024,000008B4,7,1.0,0.83333333333
2025,000006B4,6,0.05,0.71428571428
2026,000001ED,2,0.25,0.90909090909
2027,0000084D,7,0.5,0.95238095238
2028,0000057E,5,0.1,0.95238095238
2029,0000030B,3,0.1,0.90909090909
2030,000004D3,4,0.75,0.71428571428
2031,00000526,5,0.01,0.71428571428
2032,0000036A,3,0.5,0.71428571428
2033,00000305,3,0.1,0.90909090909
2034,000003D0,4,0.01,0.90909090909
2035,0000076F,6,1.0,0.83333333333
2036,000002A3,3,0.01,0.71428571428
2037,00000203,2,0.25,0.71428571428
2038,00000627,5,1.0,0.90909090909
2039,0000057B,5,0.1,0.95238095238
2040,00000514,5,0.01,0.83333333333
2041,00000707,6,0.25,0.71428571428
2042,00000891,7,0.75,0.71428571428
2043,00000838,7,0.25,0.83333333333
2044,0000008E,1,0.1,0.83333333333
2045,00000720,6,0.5,0.83333333333
2046,00000491,4,0.5,0.95238095238
2047,00000540,5,0.025,0.83333333333
2048,00000165,2,0.01,0.71428571428
2049,00000833,7,0.25,0.90909090909
2050,00000648,6,0.01,0.95238095238
2051,0000090D,8,0.025,0.71428571428
2052,00000392,3,0.75,0.71428571428
2053,00000062,1,0.05,0.90909090909
2054,00000217,2,0.5,0.90909090909
2055,0000009C,1,0.1,0.71428571428
2056,000000C6,1,0.25,0.71428571428
2057,000002DD,3,0.05,0.90909090909
2058,00000216,2,0.5,0.90909090909
2059,0000045A,4,0.1,0.71428571428
2060,0000076C,6,1.0,0.83333333333
2061,00000510,5,0.01,0.90909090909
2062,0000061F,5,1.0,0.95238095238
2063,0000081D,7,0.1,0.71428571428
2064,000006E0,6,0.25,0.95238095238
2065,000004C3,4,0.75,0.90909090909
2066,0000011F,1,1.0,0.95238095238
2067,00000542,5,0.025,0.83333333333
2068,0000061E,5,1.0,0.95238095238
2069,000009E0,8,1.0,0.95238095238
2070,00000970,8,0.25,0.90909090909
2071,0000046C,4,0.25,0.90909090909
2072,00000962,8,0.25,0.95238095238
2073,0000013C,1,1.0,0.71428571428
2074,000009F0,8,1.0,0.83333333333
2075,00000586,5,0.1,0.90909090909
2076,000001C5,2,0.1,0.90909090909
2077,000001FD,2,0.25,0.83333333333
2078,000006A0,6,0.05,0.90909090909
2079,00000418,4,0.05,0.95238095238
2080,000009EA,8,1.0,0.90909090909
2081,000006E1,6,0.25,0.95238095238
2082,000006F0,6,0.25,0.90909090909
2083,000007FE,7,0.1,0.95238095238
2084,000002DA,3,0.05,0.90909090909
2085,0000036F,3,0.5,0.71428571428
2086,00000887,7,0.75,0.83333333333
2087,000005EE,5,0.5,0.71428571428
2088,00000369,3,0.5,0.71428571428
2089,000005C6,5,0.25,0.71428571428
2090,0000038B,3,0.75,0.83333333333
2091,00000740,6,0.75,0.90909090909
2092,000005B4,5,0.25,0.83333333333
2093,00000539,5,0.025,0.90909090909
2094,0000004C,1,0.025,0.71428571428
2095,000007E8,7,0.05,0.83333333333
2096,0000006B,1,0.05,0.83333333333
2097,000009B8,8,0.75,0.95238095238
2098,000004CF,4,0.75,0.71428571428
2099,0000045D,4,0.1,0.71428571428
2100,0000043F,4,0.1,0.95238095238
2101,00000782,7,0.01,0.95238095238
2102,00000574,5,0.05,0.71428571428
2103,0000056D,5,0.05,0.83333333333
2104,00000808,7,0.1,0.90909090909
2105,000002D2,3,0.05,0.95238095238
2106,000007CC,7,0.025,0.71428571428
2107,0000091A,8,0.05,0.90909090909
2108,0000076E,6,1.0,0.83333333333
2109,00000614,5,0.75,0.71428571428
2110,00000323,3,0.25,0.95238095238
2111,00000888,7,0.75,0.83333333333
2112,000005E7,5,0.5,0.71428571428
2113,000005F1,5,0.75,0.95238095238
2114,00000450,4,0.1,0.83333333333
2115,000009F1,8,1.0,0.83333333333
2116,000001A5,2,0.05,0.83333333333
2117,00000796,7,0.01,0.83333333333
2118,00000509,5,0.01,0.95238095238
2119,00000803,7,0.1,0.90909090909
2120,000003A2,3,1.0,0.90909090909
2121,000003AA,3,1.0,0.90909090909
2122,00000200,2,0.25,0.71428571428
2123,0000036E,3,0.5,0.71428571428
2124,000008AC,7,1.0,0.83333333333
2125,00000309,3,0.1,0.90909090909
2126,00000113,1,0.75,0.71428571428
2127,00000452,4,0.1,0.83333333333
2128,0000035C,3,0.5,0.83333333333
2129,000005E9,5,0.5,0.71428571428
2130,0000036C,3,0.5,0.71428571428
2131,000005FA,5,0.75,0.90909090909
2132,0000070A,6,0.5,0.95238095238
2133,0000027D,2,1.0,0.71428571428
2134,00000830,7,0.25,0.90909090909
2135,0000037A,3,0.75,0.90909090909
2136,00000926,8,0.05,0.83333333333
2137,0000080F,7,0.1,0.83333333333
2138,0000038D,3,0.75,0.83333333333
2139,00000034,1,0.025,0.90909090909
2140,00000747,6,0.75,0.83333333333
2141,000009CB,8,0.75,0.83333333333
2142,00000579,5,0.1,0.95238095238
2143,00000854,7,0.5,0.90909090909
2144,0000091D,8,0.05,0.90909090909
2145,000004C4,4,0.75,0.83333333333
2146,000007EB,7,0.05,0.83333333333
2147,00000306,3,0.1,0.90909090909
2148,0000097A,8,0.25,0.83333333333
2149,00000043,1,0.025,0.83333333333
2150,000006DB,6,0.1,0.71428571428
2151,000002A5,3,0.01,0.71428571428
2152,00000098,1,0.1,0.71428571428
2153,000001E6,2,0.25,0.95238095238
2154,0000030D,3,0.1,0.83333333333
2155,00000002,1,0.01,0.95238095238
2156,000004E7,4,1.0,0.90909090909
2157,00000032,1,0.025,0.90909090909
2158,00000178,2,0.025,0.90909090909
2159,0000039D,3,1.0,0.95238095238
2160,000007B2,7,0.025,0.90909090909
2161,00000066,1,0.05,0.83333333333
2162,0000047F,4,0.25,0.71428571428
2163,00000810,7,0.1,0.83333333333
2164,000003E6,4,0.01,0.71428571428
2165,0000075B,6,1.0,0.95238095238
2166,0000014F,2,0.01,0.90909090909
2167,000008B0,7,1.0,0.83333333333
2168,000004A2,4,0.5,0.83333333333
2169,000007AB,7,0.025,0.95238095238
2170,00000504,5,0.01,0.95238095238
2171,0000079E,7,0.01,0.71428571428
2172,000003CE,4,0.01,0.90909090909
2173,000000EF,1,0.5,0.71428571428
2174,000000E7,1,0.5,0.71428571428
2175,000004E2,4,1.0,0.90909090909
2176,000007DB,7,0.05,0.90909090909
2177,000007D2,7,0.05,0.95238095238
2178,0000018F,2,0.025,0.71428571428
2179,00000219,2,0.5,0.90909090909
2180,000003AF,3,1.0,0.83333333333
2181,00000384,3,0.75,0.83333333333
2182,00000928,8,0.05,0.83333333333
2183,000003B9,3,1.0,0.71428571428
2184,00000864,7,0.5,0.83333333333
2185,0000084B,7,0.5,0.95238095238
2186,000002C0,3,0.025,0.83333333333
2187,000000B9,1,0.25,0.83333333333
2188,00000366,3,0.5,0.71428571428
2189,000005DC,5,0.5,0.83333333333
2190,00000136,1,1.0,0.71428571428
2191,00000488,4,0.5,0.95238095238
2192,000003D2,4,0.01,0.90909090909
2193,00000083,1,0.1,0.90909090909
2194,00000093,1,0.1,0.83333333333
2195,00000192,2,0.05,0.95238095238
2196,000002D4,3,0.05,0.95238095238
2197,000006D2,6,0.1,0.83333333333
2198,0000034F,3,0.5,0.95238095238
2199,000007C1,7,0.025,0.83333333333
2200,000004D2,4,0.75,0.71428571428
2201,00000861,7,0.5,0.83333333333
2202,00000413,4,0.05,0.95238095238
2203,000000CF,1,0.5,0.95238095238
2204,0000086D,7,0.5,0.71428571428
2205,00000503,5,0.01,0.95238095238
2206,00000849,7,0.5,0.95238095238
2207,00000317,3,0.1,0.71428571428
2208,00000480,4,0.25,0.71428571428
2209,00000662,6,0.01,0.71428571428
2210,0000033F,3,0.25,0.71428571428
2211,0000087E,7,0.75,0.90909090909
2212,000002DE,3,0.05,0.90909090909
2213,000003F8,4,0.025,0.90909090909
2214,000002E5,3,0.05,0.83333333333
2215,000006E7,6,0.25,0.95238095238
2216,00000053,1,0.05,0.95238095238
2217,000000DF,1,0.5,0.83333333333
2218,0000028D,3,0.01,0.90909090909
2219,000000E0,1,0.5,0.83333333333
2220,00000125,1,1.0,0.90909090909
2221,000000B8,1,0.25,0.83333333333
2222,00000922,8,0.05,0.90909090909
2223,00000202,2,0.25,0.71428571428
2224,00000386,3,0.75,0.83333333333
2225,00000867,7,0.5,0.71428571428
2226,00000594,5,0.1,0.83333333333
2227,000009C7,8,0.75,0.83333333333
2228,000002D3,3,0.05,0.95238095238
2229,000006F1,6,0.25,0.90909090909
2230,00000615,5,0.75,0.71428571428
2231,00000241,2,0.75,0.90909090909
2232,0000034D,3,0.5,0.95238095238
2233,0000061C,5,1.0,0.95238095238
2234,00000844,7,0.25,0.71428571428
2235,00000906,8,0.025,0.71428571428
2236,000003E2,4,0.01,0.71428571428
2237,00000879,7,0.75,0.95238095238
2238,00000821,7,0.25,0.95238095238
2239,000000F9,1,0.75,0.95238095238
2240,00000766,6,1.0,0.90909090909
2241,0000059C,5,0.1,0.71428571428
2242,0000012A,1,1.0,0.90909090909
2243,0000026C,2,1.0,0.83333333333
2244,0000025F,2,1.0,0.95238095238
2245,00000355,3,0.5,0.90909090909
2246,00000436,4,0.05,0.71428571428
2247,0000051E,5,0.01,0.71428571428
2248,00000180,2,0.025,0.83333333333
2249,000007B6,7,0.025,0.90909090909
2250,000009E8,8,1.0,0.90909090909
2251,000006AA,6,0.05,0.83333333333
2252,000000AE,1,0.25,0.90909090909
2253,000007F1,7,0.05,0.71428571428
2254,000009C3,8,0.75,0.90909090909
2255,00000069,1,0.05,0.83333333333
2256,000003A5,3,1.0,0.90909090909
2257,0000038F,3,0.75,0.71428571428
2258,00000911,8,0.05,0.95238095238
2259,00000667,6,0.01,0.71428571428
2260,000000E3,1,0.5,0.83333333333
2261,00000497,4,0.5,0.90909090909
2262,0000066D,6,0.025,0.95238095238
2263,000006CC,6,0.1,0.83333333333
2264,0000048C,4,0.5,0.95238095238
2265,000000C3,1,0.25,0.71428571428
2266,00000800,7,0.1,0.95238095238
2267,000009C2,8,0.75,0.90909090909
2268,000009D8,8,1.0,0.95238095238
2269,0000071F,6,0.5,0.83333333333
2270,000009A4,8,0.5,0.83333333333
2271,00000850,7,0.5,0.95238095238
2272,000004F9,4,1.0,0.71428571428
2273,00000726,6,0.5,0.71428571428
2274,00000368,3,0.5,0.71428571428
2275,0000048F,4,0.5,0.95238095238
2276,000008A3,7,1.0,0.90909090909
2277,00000937,8,0.05,0.71428571428
2278,000009B9,8,0.75,0.95238095238
2279,0000079F,7,0.01,0.71428571428
2280,000004CE,4,0.75,0.71428571428
2281,00000424,4,0.05,0.83333333333
2282,000002BA,3,0.025,0.90909090909
2283,000001AD,2,0.05,0.83333333333
2284,000002D7,3,0.05,0.95238095238
2285,000001E8,2,0.25,0.95238095238
2286,000009EC,8,1.0,0.83333333333
2287,000008DF,8,0.01,0.71428571428
2288,000003AE,3,1.0,0.83333333333
2289,00000825,7,0.25,0.95238095238
2290,000007D6,7,0.05,0.95238095238
2291,000009CD,8,0.75,0.83333333333
2292,000001DE,2,0.1,0.71428571428
2293,000007F0,7,0.05,0.71428571428
2294,000003F5,4,0.025,0.90909090909
2295,00000619,5,1.0,0.95238095238
2296,00000373,3,0.75,0.95238095238
2297,000002A4,3,0.01,0.71428571428
2298,000008D0,8,0.01,0.90909090909
2299,0000083E,7,0.25,0.71428571428
2300,00000885,7,0.75,0.83333333333
2301,00000005,1,0.01,0.95238095238
2302,0000050E,5,0.01,0.90909090909
2303,0000086E,7,0.5,0.71428571428
2304,000000D5,1,0.5,0.90909090909
2305,00000742,6,0.75,0.90909090909
2306,00000941,8,0.1,0.95238095238
2307,0000043E,4,0.1,0.95238095238
2308,00000013,1,0.01,0.90909090909
2309,0000001F,1,0.01,0.71428571428
2310,000008E1,8,0.01,0.71428571428
2311,00000148,2,0.01,0.95238095238
2312,000003BC,3,1.0,0.71428571428
2313,00000105,1,0.75,0.83333333333
2314,00000236,2,0.75,0.95238095238
2315,0000033E,3,0.25,0.71428571428
2316,000005ED,5,0.5,0.71428571428
2317,000004F4,4,1.0,0.83333333333
2318,00000152,2,0.01,0.90909090909
2319,0000059E,5,0.1,0.71428571428
2320,0000000A,1,0.01,0.90909090909
2321,00000839,7,0.25,0.83333333333
2322,00000374,3,0.75,0.95238095238
2323,000009C0,8,0.75,0.90909090909
2324,0000085E,7,0.5,0.83333333333
2325,00000562,5,0.05,0.90909090909
2326,00000508,5,0.01,0.95238095238
2327,000000EA,1,0.5,0.71428571428
2328,0000030E,3,0.1,0.83333333333
2329,0000047C,4,0.25,0.83333333333
2330,0000020B,2,0.5,0.95238095238
2331,000005BA,5,0.25,0.83333333333
2332,00000642,6,0.01,0.95238095238
2333,0000051B,5,0.01,0.83333333333
2334,0000030A,3,0.1,0.90909090909
2335,00000286,3,0.01,0.95238095238
2336,0000003D,1,0.025,0.83333333333
2337,00000223,2,0.5,0.83333333333
2338,0000023F,2,0.75,0.90909090909
2339,000009F6,8,1.0,0.71428571428
2340,00000012,1,0.01,0.90909090909
2341,000003B8,3,1.0,0.71428571428
2342,00000420,4,0.05,0.90909090909
2343,0000022D,2,0.5,0.71428571428
2344,0000084C,7,0.5,0.95238095238
2345,00000332,3,0.25,0.90909090909
2346,000001E3,2,0.25,0.95238095238
2347,00000249,2,0.75,0.83333333333
2348,00000300,3,0.1,0.95238095238
2349,00000272,2,1.0,0.83333333333
2350,00000608,5,0.75,0.83333333333
2351,000007E7,7,0.05,0.83333333333
2352,00000443,4,0.1,0.90909090909
2353,00000168,2,0.025,0.95238095238
2354,00000683,6,0.025,0.83333333333
2355,000001F6,2,0.25,0.83333333333
2356,0000037B,3,0.75,0.90909090909
2357,000005A4,5,0.25,0.95238095238
2358,00000401,4,0.025,0.83333333333
2359,00000364,3,0.5,0.83333333333
2360,000008DE,8,0.01,0.71428571428
2361,000003BD,3,1.0,0.71428571428
2362,00000492,4,0.5,0.90909090909
2363,000007DE,7,0.05,0.90909090909
2364,00000653,6,0.01,0.90909090909
2365,000002C8,3,0.025,0.71428571428
2366,00000201,2,0.25,0.71428571428
2367,0000075A,6,1.0,0.95238095238
2368,0000006D,1,0.05,0.83333333333
2369,00000894,7,0.75,0.71428571428
2370,000008C1,8,0.01,0.95238095238
2371,00000997,8,0.5,0.90909090909
2372,00000570,5,0.05,0.71428571428
2373,000009B6,8,0.75,0.95238095238
2374,000007B3,7,0.025,0.90909090909
2375,00000801,7,0.1,0.95238095238
2376,000007CD,7,0.025,0.71428571428
2377,0000051F,5,0.01,0.71428571428
2378,00000256,2,0.75,0.71428571428
2379,00000639,5,1.0,0.71428571428
2380,00000379,3,0.75,0.95238095238
2381,0000028E,3,0.01,0.90909090909
2382,0000085D,7,0.5,0.83333333333
2383,0000099D,8,0.5,0.83333333333
2384,0000032D,3,0.25,0.90909090909
2385,00000654,6,0.01,0.83333333333
2386,00000030,1,0.025,0.95238095238
2387,000008D9,8,0.01,0.83333333333
2388,0000054D,5,0.025,0.71428571428
2389,00000262,2,1.0,0.90909090909
2390,00000761,6,1.0,0.95238095238
2391,000005A1,5,0.25,0.95238095238
2392,0000008C,1,0.1,0.83333333333
2393,000007BA,7,0.025,0.90909090909
2394,00000873,7,0.75,0.95238095238
2395,0000085C,7,0.5,0.83333333333
2396,00000122,1,1.0,0.90909090909
2397,0000076D,6,1.0,0.83333333333
2398,00000036,1,0.025,0.90909090909
2399,0000059D,5,0.1,0.71428571428
2400,0000091B,8,0.05,0.90909090909
2401,00000961,8,0.25,0.95238095238
2402,00000498,4,0.5,0.90909090909
2403,000005E3,5,0.5,0.83333333333
2404,000005C1,5,0.25,0.71428571428
2405,000004B1,4,0.75,0.95238095238
2406,0000039F,3,1.0,0.95238095238
2407,000008DA,8,0.01,0.83333333333
2408,000002A2,3,0.01,0.71428571428
2409,000001BE,2,0.1,0.95238095238
2410,00000895,7,0.75,0.71428571428
2411,0000041C,4,0.05,0.90909090909
2412,00000301,3,0.1,0.95238095238
2413,0000099B,8,0.5,0.90909090909
2414,0000047B,4,0.25,0.83333333333
2415,00000022,1,0.01,0.71428571428
2416,00000883,7,0.75,0.90909090909
2417,00000749,6,0.75,0.83333333333
2418,00000575,5,0.05,0.71428571428
2419,00000703,6,0.25,0.71428571428
2420,000003E3,4,0.01,0.71428571428
2421,000009C8,8,0.75,0.83333333333
2422,00000035,1,0.025,0.90909090909
2423,000002AD,3,0.025,0.95238095238
2424,00000664,6,0.01,0.71428571428
2425,00000100,1,0.75,0.90909090909
2426,0000033A,3,0.25,0.83333333333
2427,000005D6,5,0.5,0.90909090909
2428,0000031C,3,0.1,0.71428571428
2429,0000000E,1,0.01,0.90909090909
2430,000001F7,2,0.25,0.83333333333
2431,000008AA,7,1.0,0.90909090909
2432,000001A4,2,0.05,0.83333333333
2433,0000035D,3,0.5,0.83333333333
2434,00000834,7,0.25,0.83333333333
2435,0000078F,7,0.01,0.90909090909
2436,00000464,4,0.25,0.95238095238
2437,00000352,3,0.5,0.90909090909
2438,000009ED,8,1.0,0.83333333333
2439,0000064A,6,0.01,0.90909090909
2440,00000455,4,0.1,0.83333333333
2441,0000002C,1,0.025,0.95238095238
2442,00000322,3,0.25,0.95238095238
2443,00000769,6,1.0,0.90909090909
2444,000002AA,3,0.025,0.95238095238
2445,00000907,8,0.025,0.71428571428
2446,000007F9,7,0.1,0.95238095238
2447,000003F6,4,0.025,0.90909090909
2448,0000085B,7,0.5,0.90909090909
2449,00000647,6,0.01,0.95238095238
2450,000001E0,2,0.25,0.95238095238
2451,000001BF,2,0.1,0.95238095238
2452,000004FD,4,1.0,0.71428571428
2453,0000097D,8,0.25,0.83333333333
2454,00000910,8,0.05,0.95238095238
2455,00000637,5,1.0,0.71428571428
2456,00000059,1,0.05,0.95238095238
2457,00000956,8,0.1,0.71428571428
2458,00000610,5,0.75,0.71428571428
2459,0000059A,5,0.1,0.71428571428
2460,00000435,4,0.05,0.71428571428
2461,00000172,2,0.025,0.90909090909
2462,000008FB,8,0.025,0.90909090909
2463,00000583,5,0.1,0.90909090909
2464,00000268,2,1.0,0.90909090909
2465,0000062C,5,1.0,0.83333333333
2466,00000297,3,0.01,0.83333333333
2467,000002E1,3,0.05,0.90909090909
2468,00000859,7,0.5,0.90909090909
2469,00000156,2,0.01,0.83333333333
2470,00000471,4,0.25,0.90909090909
2471,000004B9,4,0.75,0.95238095238
2472,000004D0,4,0.75,0.71428571428
2473,0000078B,7,0.01,0.90909090909
2474,000001D7,2,0.1,0.71428571428
2475,00000409,4,0.025,0.71428571428
2476,00000211,2,0.5,0.95238095238
2477,00000581,5,0.1,0.95238095238
2478,00000102,1,0.75,0.90909090909
2479,0000066B,6,0.025,0.95238095238
2480,00000764,6,1.0,0.90909090909
2481,00000633,5,1.0,0.83333333333
2482,000009A3,8,0.5,0.83333333333
2483,000001B0,2,0.05,0.71428571428
2484,000002BF,3,0.025,0.83333333333
2485,00000735,6,0.75,0.95238095238
2486,00000285,3,0.01,0.95238095238
2487,000000A1,1,0.25,0.95238095238
2488,0000080E,7,0.1,0.83333333333
2489,000004CB,4,0.75,0.83333333333
2490,00000071,1,0.05,0.71428571428
2491,000002E4,3,0.05,0.83333333333
2492,00000775,6,1.0,0.83333333333
2493,0000066F,6,0.025,0.95238095238
2494,00000986,8,0.25,0.71428571428
2495,00000155,2,0.01,0.83333333333
2496,000008B9,7,1.0,0.71428571428
2497,000000E1,1,0.5,0.83333333333
2498,0000018E,2,0.025,0.71428571428
2499,00000314,3,0.1,0.83333333333
2500,000004F6,4,1.0,0.71428571428
2501,0000094B,8,0.1,0.90909090909
2502,00000846,7,0.25,0.71428571428
2503,00000535,5,0.025,0.90909090909
2504,00000353,3,0.5,0.90909090909
2505,00000394,3,0.75,0.71428571428
2506,00000310,3,0.1,0.83333333333
2507,000002F0,3,0.05,0.71428571428
2508,0000093A,8,0.1,0.95238095238
2509,00000185,2,0.025,0.83333333333
2510,000004E1,4,1.0,0.95238095238
2511,0000048D,4,0.5,0.95238095238
2512,00000915,8,0.05,0.95238095238
2513,00000273,2,1.0,0.83333333333
2514,00000446,4,0.1,0.90909090909
2515,00000308,3,0.1,0.90909090909
2516,0000007C,1,0.1,0.95238095238
2517,0000068B,6,0.025,0.71428571428
2518,00000395,3,0.75,0.71428571428
2519,0000032E,3,0.25,0.90909090909
2520,00000784,7,0.01,0.95238095238
2521,000002B3,3,0.025,0.90909090909
2522,00000026,1,0.01,0.71428571428
2523,00000876,7,0.75,0.95238095238
2524,000007C7,7,0.025,0.71428571428
2525,000009B4,8,0.75,0.95238095238
2526,00000932,8,0.05,0.71428571428
2527,00000052,1,0.05,0.95238095238
2528,000007B8,7,0.025,0.90909090909
2529,00000077,1,0.05,0.71428571428
2530,00000135,1,1.0,0.83333333333
2531,0000071B,6,0.5,0.90909090909
2532,000005FF,5,0.75,0.90909090909
2533,0000009E,1,0.1,0.71428571428
2534,00000303,3,0.1,0.90909090909
2535,00000693,6,0.05,0.95238095238
2536,000000C4,1,0.25,0.71428571428
2537,000006C0,6,0.1,0.95238095238
2538,000003A4,3,1.0,0.90909090909
2539,0000048A,4,0.5,0.95238095238
2540,00000163,2,0.01,0.71428571428
2541,00000708,6,0.5,0.95238095238
2542,00000092,1,0.1,0.83333333333
2543,00000351,3,0.5,0.95238095238
2544,00000011,1,0.01,0.90909090909
2545,00000473,4,0.25,0.90909090909
2546,0000082F,7,0.25,0.90909090909
2547,00000898,7,1.0,0.95238095238
2548,0000017D,2,0.025,0.83333333333
2549,000004BC,4,0.75,0.90909090909
2550,000000B7,1,0.25,0.83333333333
2551,00000467,4,0.25,0.95238095238
2552,000003E0,4,0.01,0.71428571428
2553,00000817,7,0.1,0.71428571428
2554,0000050B,5,0.01,0.90909090909
2555,000003C7,4,0.01,0.95238095238
2556,00000759,6,1.0,0.95238095238
2557,000008F4,8,0.025,0.90909090909
2558,000008FD,8,0.025,0.83333333333
2559,00000996,8,0.5,0.90909090909
