Speed ratio,2D,3D
10.5523,0.767703014106383+8.42366687736904e-14i,0.670808785
11.024,0.776662366831229+1.27056903313392e-13i,0.682668176
11.4957,0.784957758465603+9.81152215880586e-14i,0.69371224
11.9674,0.792660104878056+9.79689099186141e-14i,0.704021209
12.4391,0.79983060756711+1.58321056206803e-13i,0.713665276
12.9108,0.806522355267624+1.36539957027432e-13i,0.722706095
13.3825,0.812781620210947+1.26285729883038e-13i,0.731198013
13.8542,0.818648914524984+1.42654583369628e-13i,0.739189115
14.3259,0.824159856809333+1.0698274626462e-13i,0.746722081
14.7976,0.8293458870722+1.09916348107473e-13i,0.75383492
15.2693,0.834234860985575+1.16449077343159e-13i,0.760561587
15.741,0.838851544693522+1.10272173033646e-13i,0.766932498
16.2127,0.843218031210666+1.18188584223004e-13i,0.772974984
16.6844,0.847354090518583+8.68979998964119e-14i,0.77871366
17.1561,0.851277466644223+8.75505331963893e-14i,0.784170759
17.6278,0.855004130191141+1.12993155380401e-13i,0.789366409
18.0995,0.858548494246179+7.28608985718097e-14i,0.794318872
18.5712,0.861923599209898+1.07214050558023e-13i,0.799044759
19.0429,0.865141272399235+9.62419598963336e-14i,0.803559208
19.5146,0.868212265600513+1.05190563270076e-13i,0.807876043
19.9863,0.871146374469861+1.29403570926193e-13i,0.812007916
20.458,0.873952542378812+7.24746946570157e-14i,0.815966422
20.9297,0.876638951003952+1.14402446751418e-13i,0.819762214
21.4014,0.879213099765233+1.12936563769238e-13i,0.823405091
21.8731,0.881681875158243+1.16989334356672e-13i,0.826904083
22.3448,0.884051612310508+1.2794626938471e-13i,0.830267526
22.8165,0.88632814890841+9.28183210016865e-14i,0.833503126
23.2882,0.888516873047812+1.4652064172973e-13i,0.836618017
23.7599,0.89062276571277+1.33933830316392e-13i,0.839618813
24.2316,0.892650438387604+1.08972469685943e-13i,0.842511656
24.7033,0.894604166758541+1.10464954763079e-13i,0.845302255
25.175,0.896487920670348+1.17957404457127e-13i,0.847995924
25.6467,0.898305390972693+1.36881753408699e-13i,0.850597618
26.1184,0.900060013612693+1.34203290047782e-13i,0.853111959
26.5901,0.901754991219119+1.42470971027873e-13i,0.855543264
27.0618,0.903393312577816+1.19491148033976e-13i,0.857895573
27.5335,0.904977770184908+1.55003729820224e-13i,0.860172667
28.0052,0.906510976086486+1.68049864970211e-13i,0.862378092
28.4769,0.907995376212754+1.06347602726987e-13i,0.864515172
28.9486,0.909433263367381+1.66445802168449e-13i,0.86658703
29.4203,0.910826789036617+1.37423032460491e-13i,0.868596605
29.892,0.912177974040788+1.41730883612571e-13i,0.870546657
30.3637,0.91348871843292+1.15107510106174e-13i,0.87243979
30.8354,0.914760810239455+1.19797339364035e-13i,0.874278455
31.3071,0.915995933679517+9.74112942046826e-14i,0.876064968
31.7788,0.917195676546105+1.34644121205747e-13i,0.877801513
32.2505,0.918361537083059+1.20369650725465e-13i,0.879490154
32.7222,0.919494930056417+1.2910678011748e-13i,0.881132846
33.1939,0.920597192647418+1.14386314036343e-13i,0.882731435
33.6656,0.921669589601415+1.15988366971483e-13i,0.884287673
34.1373,0.92271331805578+1.30679597137553e-13i,0.885803219
34.609,0.923729512228594+1.26585863110076e-13i,0.887279645
35.0807,0.924719246997507+1.4465728109631e-13i,0.888718447
35.5524,0.92568354222712+1.33582137230589e-13i,0.890121042
36.0241,0.926623366007257+1.22185252721491e-13i,0.891488779
36.4958,0.927539637935765+1.08005600503746e-13i,0.89282294
36.9675,0.928433232119229+1.41229531150089e-13i,0.894124746
37.4392,0.929304979942755+1.49149077506732e-13i,0.895395358
37.9109,0.930155672670575+1.81431606524873e-13i,0.896635883
38.3826,0.930986063800617+1.19456048497091e-13i,0.897847377
38.8543,0.931796871324091+1.30283605425474e-13i,0.899030845
39.326,0.932588779772235+1.32849663477253e-13i,0.900187249
39.7977,0.933362442151309+1.58624840792351e-13i,0.901317506
40.2694,0.934118481733928+1.28319293069379e-13i,0.902422491
40.7411,0.934857493759804+1.18724776784826e-13i,0.903503042
41.2128,0.935580046824127+1.23956098310492e-13i,0.904559961
41.6845,0.93628668475737+1.70741898506836e-13i,0.905594014
42.1562,0.936977927459447+1.33209630275325e-13i,0.906605933
42.6279,0.93765427253209+1.25074000911506e-13i,0.907596423
43.0996,0.938316196348713+1.16145170825952e-13i,0.908566155
43.5713,0.938964155199798+1.48423223183328e-13i,0.909515776
44.043,0.939598586326956+1.57369670443911e-13i,0.910445904
44.5147,0.940219908907074+1.39526453004428e-13i,0.911357132
44.9864,0.94082852498292+1.23052436170463e-13i,0.912250031
45.4581,0.941424820295611+1.60918805489183e-13i,0.913125149
45.9298,0.942009165238089+1.37997924718276e-13i,0.913983009
46.4015,0.94258191535929+1.40409656942695e-13i,0.914824119
46.8732,0.94314341233051+1.03688321399525e-13i,0.915648963
47.3449,0.943693984520275+1.65001168695079e-13i,0.916458008
47.8166,0.944233947643649+1.65092337795713e-13i,0.917251703